Time (s),SCL (V)
-6.479989830508475e-05,-0.05300380404350898
-6.477989830508475e-05,-0.08257716426339862
-6.475989830508474e-05,-0.05670047407099519
-6.473989830508474e-05,-0.07148715418094001
-6.471989830508475e-05,-0.08627383429088481
-6.469989830508475e-05,-0.05670047407099519
-6.467989830508475e-05,-0.08257716426339862
-6.465989830508474e-05,-0.09736384437334342
-6.463989830508475e-05,-0.07148715418094001
-6.461989830508475e-05,-0.08997050431837103
-6.459989830508475e-05,-0.0788804942359124
-6.457989830508474e-05,-0.08627383429088481
-6.455989830508475e-05,-0.1121505244832882
-6.453989830508475e-05,-0.09366717434585722
-6.451989830508475e-05,-0.08627383429088481
-6.449989830508474e-05,-0.1010605144008296
-6.447989830508475e-05,-0.08627383429088481
-6.445989830508475e-05,-0.108453854455802
-6.443989830508475e-05,-0.1047571844283158
-6.441989830508474e-05,-0.08997050431837103
-6.439989830508474e-05,-0.1047571844283158
-6.437989830508475e-05,-0.1010605144008296
-6.435989830508475e-05,-0.09736384437334342
-6.433989830508475e-05,-0.1121505244832882
-6.431989830508474e-05,-0.08627383429088481
-6.429989830508475e-05,-0.09366717434585722
-6.427989830508475e-05,-0.1306338746207193
-6.425989830508475e-05,-0.09366717434585722
-6.423989830508474e-05,-0.1158471945107744
-6.421989830508475e-05,-0.108453854455802
-6.419989830508475e-05,-0.09366717434585722
-6.417989830508475e-05,-0.1121505244832882
-6.415989830508474e-05,-0.1047571844283158
-6.413989830508475e-05,-0.09736384437334342
-6.411989830508475e-05,-0.126937204593233
-6.409989830508475e-05,-0.1158471945107744
-6.407989830508474e-05,-0.108453854455802
-6.405989830508475e-05,-0.1158471945107744
-6.403989830508475e-05,-0.1047571844283158
-6.401989830508475e-05,-0.1010605144008296
-6.399989830508475e-05,-0.1232405345657469
-6.397989830508474e-05,-0.09736384437334342
-6.395989830508475e-05,-0.1121505244832882
-6.393989830508475e-05,-0.1195438645382607
-6.391989830508475e-05,-0.09736384437334342
-6.389989830508474e-05,-0.1195438645382607
-6.387989830508475e-05,-0.1232405345657469
-6.385989830508475e-05,-0.1121505244832882
-6.383989830508475e-05,-0.1306338746207193
-6.381989830508474e-05,-0.1121505244832882
-6.379989830508475e-05,-0.108453854455802
-6.377989830508475e-05,-0.126937204593233
-6.375989830508475e-05,-0.1047571844283158
-6.373989830508474e-05,-0.108453854455802
-6.371989830508475e-05,-0.1158471945107744
-6.369989830508475e-05,-0.1047571844283158
-6.367989830508475e-05,-0.1195438645382607
-6.365989830508475e-05,-0.1121505244832882
-6.363989830508474e-05,-0.09736384437334342
-6.361989830508475e-05,-0.1232405345657469
-6.359989830508475e-05,-0.09736384437334342
-6.357989830508475e-05,-0.1121505244832882
-6.355989830508474e-05,-0.1195438645382607
-6.353989830508475e-05,-0.1047571844283158
-6.351989830508475e-05,-0.08997050431837103
-6.349989830508475e-05,-0.1232405345657469
-6.347989830508474e-05,-0.08997050431837103
-6.345989830508475e-05,-0.1047571844283158
-6.343989830508475e-05,-0.108453854455802
-6.341989830508475e-05,-0.09736384437334342
-6.339989830508474e-05,-0.1158471945107744
-6.337989830508475e-05,-0.1232405345657469
-6.335989830508475e-05,-0.1010605144008296
-6.333989830508475e-05,-0.1158471945107744
-6.331989830508474e-05,-0.108453854455802
-6.329989830508474e-05,-0.09736384437334342
-6.327989830508475e-05,-0.1158471945107744
-6.325989830508475e-05,-0.1010605144008296
-6.323989830508475e-05,-0.1121505244832882
-6.321989830508474e-05,-0.108453854455802
-6.319989830508475e-05,-0.09366717434585722
-6.317989830508475e-05,-0.108453854455802
-6.315989830508475e-05,-0.1158471945107744
